dataset	sample_name	depth	purity	damage_extent	damage_type	genuine_mutation_rate	base_error_rate
sim_100x	sim_100x_01_01_01	100	0.90	0.95	oxog	0.05	0.001
sim_100x	sim_100x_01_01_02	100	0.90	0.9	oxog	0.05	0.001
sim_100x	sim_100x_01_01_03	100	0.90	0.8	oxog	0.05	0.001
sim_100x	sim_100x_01_01_04	100	0.90	0.7	oxog	0.05	0.001
sim_100x	sim_100x_01_01_05	100	0.90	0.6	oxog	0.05	0.001
sim_100x	sim_100x_01_01_06	100	0.90	0.5	oxog	0.05	0.001
sim_100x	sim_100x_01_01_07	100	0.90	0.4	oxog	0.05	0.001
sim_100x	sim_100x_01_01_08	100	0.90	0.3	oxog	0.05	0.001
sim_100x	sim_100x_01_01_09	100	0.90	0.2	oxog	0.05	0.001
sim_100x	sim_100x_01_01_10	100	0.90	0.1	oxog	0.05	0.001
sim_100x	sim_100x_01_01_11	100	0.90	0.05	oxog	0.05	0.001
sim_100x	sim_100x_01_01_12	100	0.90	0.025	oxog	0.05	0.001
sim_100x	sim_100x_02_01_01	100	0.75	0.95	oxog	0.05	0.001
sim_100x	sim_100x_02_01_02	100	0.75	0.9	oxog	0.05	0.001
sim_100x	sim_100x_02_01_03	100	0.75	0.8	oxog	0.05	0.001
sim_100x	sim_100x_02_01_04	100	0.75	0.7	oxog	0.05	0.001
sim_100x	sim_100x_02_01_05	100	0.75	0.6	oxog	0.05	0.001
sim_100x	sim_100x_02_01_06	100	0.75	0.5	oxog	0.05	0.001
sim_100x	sim_100x_02_01_07	100	0.75	0.4	oxog	0.05	0.001
sim_100x	sim_100x_02_01_08	100	0.75	0.3	oxog	0.05	0.001
sim_100x	sim_100x_02_01_09	100	0.75	0.2	oxog	0.05	0.001
sim_100x	sim_100x_02_01_10	100	0.75	0.1	oxog	0.05	0.001
sim_100x	sim_100x_02_01_11	100	0.75	0.05	oxog	0.05	0.001
sim_100x	sim_100x_02_01_12	100	0.75	0.025	oxog	0.05	0.001
sim_100x	sim_100x_03_01_01	100	0.50	0.95	oxog	0.05	0.001
sim_100x	sim_100x_03_01_02	100	0.50	0.9	oxog	0.05	0.001
sim_100x	sim_100x_03_01_03	100	0.50	0.8	oxog	0.05	0.001
sim_100x	sim_100x_03_01_04	100	0.50	0.7	oxog	0.05	0.001
sim_100x	sim_100x_03_01_05	100	0.50	0.6	oxog	0.05	0.001
sim_100x	sim_100x_03_01_06	100	0.50	0.5	oxog	0.05	0.001
sim_100x	sim_100x_03_01_07	100	0.50	0.4	oxog	0.05	0.001
sim_100x	sim_100x_03_01_08	100	0.50	0.3	oxog	0.05	0.001
sim_100x	sim_100x_03_01_09	100	0.50	0.2	oxog	0.05	0.001
sim_100x	sim_100x_03_01_10	100	0.50	0.1	oxog	0.05	0.001
sim_100x	sim_100x_03_01_11	100	0.50	0.05	oxog	0.05	0.001
