dataset	sample_name	depth	purity	damage_extent	damage_type	genuine_mutation_rate	base_error_rate
sim_50x	sim_50x_01_01_01	50	0.90	0.95	oxog	0.05	0.001
sim_50x	sim_50x_01_01_02	50	0.90	0.9	oxog	0.05	0.001
sim_50x	sim_50x_01_01_03	50	0.90	0.8	oxog	0.05	0.001
sim_50x	sim_50x_01_01_04	50	0.90	0.7	oxog	0.05	0.001
sim_50x	sim_50x_01_01_05	50	0.90	0.6	oxog	0.05	0.001
sim_50x	sim_50x_01_01_06	50	0.90	0.5	oxog	0.05	0.001
sim_50x	sim_50x_01_01_07	50	0.90	0.4	oxog	0.05	0.001
sim_50x	sim_50x_01_01_08	50	0.90	0.3	oxog	0.05	0.001
sim_50x	sim_50x_01_01_09	50	0.90	0.2	oxog	0.05	0.001
sim_50x	sim_50x_01_01_10	50	0.90	0.1	oxog	0.05	0.001
sim_50x	sim_50x_01_01_11	50	0.90	0.05	oxog	0.05	0.001
sim_50x	sim_50x_01_01_12	50	0.90	0.025	oxog	0.05	0.001
sim_50x	sim_50x_02_01_01	50	0.75	0.95	oxog	0.05	0.001
sim_50x	sim_50x_02_01_02	50	0.75	0.9	oxog	0.05	0.001
sim_50x	sim_50x_02_01_03	50	0.75	0.8	oxog	0.05	0.001
sim_50x	sim_50x_02_01_04	50	0.75	0.7	oxog	0.05	0.001
sim_50x	sim_50x_02_01_05	50	0.75	0.6	oxog	0.05	0.001
sim_50x	sim_50x_02_01_06	50	0.75	0.5	oxog	0.05	0.001
sim_50x	sim_50x_02_01_07	50	0.75	0.4	oxog	0.05	0.001
sim_50x	sim_50x_02_01_08	50	0.75	0.3	oxog	0.05	0.001
sim_50x	sim_50x_02_01_09	50	0.75	0.2	oxog	0.05	0.001
sim_50x	sim_50x_02_01_10	50	0.75	0.1	oxog	0.05	0.001
sim_50x	sim_50x_02_01_11	50	0.75	0.05	oxog	0.05	0.001
sim_50x	sim_50x_02_01_12	50	0.75	0.025	oxog	0.05	0.001
sim_50x	sim_50x_03_01_01	50	0.50	0.95	oxog	0.05	0.001
sim_50x	sim_50x_03_01_02	50	0.50	0.9	oxog	0.05	0.001
sim_50x	sim_50x_03_01_03	50	0.50	0.8	oxog	0.05	0.001
sim_50x	sim_50x_03_01_04	50	0.50	0.7	oxog	0.05	0.001
sim_50x	sim_50x_03_01_05	50	0.50	0.6	oxog	0.05	0.001
sim_50x	sim_50x_03_01_06	50	0.50	0.5	oxog	0.05	0.001
sim_50x	sim_50x_03_01_07	50	0.50	0.4	oxog	0.05	0.001
sim_50x	sim_50x_03_01_08	50	0.50	0.3	oxog	0.05	0.001
sim_50x	sim_50x_03_01_09	50	0.50	0.2	oxog	0.05	0.001
sim_50x	sim_50x_03_01_10	50	0.50	0.1	oxog	0.05	0.001
sim_50x	sim_50x_03_01_11	50	0.50	0.05	oxog	0.05	0.001
